עברית,אנגלית,רמז אנג,רמז אנג2,רמז אנג3,רמז עבר,רמז עבר2,רמז עבר3
בית לחם הגלילית,Bet Lehem Hagelilit,Beit Lehem Hagelilit,Beit Lechem Hagelilit,,,,
בית מאיר,Bet Me'ir,Beit Me'ir,,,,,
בית נחמיה,Bet Nehemya,Beit Nehemya,Beit Nechemya,,,,
בית ניר,Bet Nir,Beit Nir,,,,,
בית נקופה,Bet Nekofa,Beit Nekofa,,,,,
בית עובד,Bet Oved,Beit Oved,,,,,
 בית עוזיאל,Bet Uzi'el,Beit Uzi'el,,,,,
בית עזרא,Bet Ezra,Beit Ezra,,,,,
בית עריף,Bet Arif,Beit Arif,,,,,
בית צבי,Bet Tsevi,Beit Tsevi,Beit Zvi,Beit Tsvi,,,
בית קמה,Bet Kama,Beit Kama,,,,,
בית קשת,Bet Keshet,Beit Keshet,,,,,
בית רבן,Bet Rabban,Beit Rabban,Beit Raban,,,,
בית רימון,Bet Rimmon,Beit Rimmon,Beit Rimon,,בית רמון,,
בית שאן,Bet She'an,Beit She'an,,,,,
בית שמש,Bet Shemesh,Beit Shemesh,,,,,
בית שערים,Bet She'arim,Beit She'arim,,,,,
בית שקמה,Bet Shikma,Beit Shikma,,,,,
ביתן אהרן,Bitan Aharon,,,,,,
ביתר עילית,Betar Illit,Betar Ilit,,,ביתר עלית,,
בלפורייה,Balfuriyya,Balfuriya,,,בלפוריה,,
בן זכאי,Ben Zakkai,Ben Zakai,,,,,
בן עמי,Ben Ammi,Ben Ami,,,,,
בן שמן (כפר נוער),Ben Shemen (Youth Village),,,,,,
בן שמן (מושב),Ben Shemen,,,,,,
בני ברק,Bene Brak,Bnei Brak,,,,,
בני דרום,Bene Darom,Bnei Darom,,,,,
בני דרור,Bene Dror,Bnei Dror,,,,,
בני יהודה,Bene Yehuda,Bnei Yehuda,,,,,
בני עטרות,Bene Atarot,Bnei Atarot,,,,,
"בני עי""ש",Bene Ayish,Bnei Ayish,,,,,
בני ציון ,Bene Tsiyyon,Bnei Tsiyyon,Bnei Zion,Bene Zion,,,
בני ראם,Bene Re'em,Bnei Re'em,,,,,
בניה,Benaya,Bnaya,,,,,
בנימינה,Binyamina,,,,,,
"בסמ""ה",Basma,,,,,,
בוסתן הגליל,Bustan Hagalil,,,,בסתן הגליל,,
בצרה,Batsra,Batzra,,,,,
ביצרון,Bitsaron,Bizaron,,,,,
בצת,Betset,Bezet,,,,,
בקוע,Beko'a,,,,,,
בקעות,Beka'ot,,,,,,
בר גיורה,Bar Giyyora,Bar Giora,,,בר גיורא,,
ברור חיל,Beror Hayil,,,,,,
ברוש,Berosh,,,,,,
בר-יוחאי,Bar Yoha'i,,,,,,
ברכה,Berakha,Beracha,,,,,
ברכיה,Berekhya,Berechia,,,,,
ברעם,Bar'am,,,,,,
ברק,Barak,,,,,,
ברקאי,Barka'i,,,,,,
ברקן,Barkan,,,,,,
ברקת,Bareket,,,,,,
בת הדר,Bat Hadar,,,,,,
בת חן,Bat Hen,Bat Chen,,,,,
בת חפר,Bat Hefer,,,,,,
בת ים,Bat Yam,,,,,,
בת עין,Bat Ayin,,,,,,
בת שלמה,Bat Shelomo,Bat Shlomo,,,,,
גאולי תימן,Ge'ule Teman,Geulei Teiman,,,,,
גאולים,Ge'ulim,,,,,,
גאליה,Ge'alya,,,,,,
גבולות,Gevulot,Gvulot,,,,,
גבים,Gevim,,,,,,
גבע,Geva,,,,,,
גבע בנימין,Geva Binyamin,,,,,,
גבע כרמל,Geva Karmel,Geva Carmel,,,,,
גבעלים,Giv'olim,,,,,,
גבעון החדשה,Giv'on Hahadasha,Giv'on Hachadasha,,,גיבעון החדשה,,
גבעות,Geva'ot,,,,,,
גבעות בר,Giv'ot Bar,,,,,,
גבעת אבני,Giv'at Avni,,,,,,
גבעת אלה,Giv’at Ela,,,,,,
גבעת ברנר,Giv'at Brener,,,,,,
גבעת השלושה,Giv'at Hashelosha,,,,,,
גבעת זאב,Giv'at Ze'ev,,,,,,
"גבעת ח""ן",Giv'at Hen,,,,,,
גבעת חיים (איחוד),Giv'at Hayyim (Me'uhad),Giv'at Haim (Me'uhad),,,,,
גבעת חיים (מאוחד),Giv'at Hayyim (Ihud),Giv'at Haim (Ihud),,,,,
גבעת יואב,Giv'at Yo'av,,,,,,
גבעת יערים,Giv’at Ye'arim,,,,,,
גבעת ישעיה,Giv’at Yesha'yahu,,,,,,
"גבעת כ""ח",Giv'at Ko’ah,,,,,,
"גבעת ניל""י",Giv'at Nili,,,,,,
גבעת עדה,Giv'at Ada,,,,,,
גבעת עוז,Giv'at Oz,,,,גבעת עז,,
גבעת שמואל,Giv'at Shemu'el,,,,,,
גבעת שמש,Giv'at Shemesh,,,,,,
גבעת שפירא,Giv'at Shapira,,,,,,
גבעתי,Giv'ati,,,,,,
גבעתיים,Giv'atayim,,,,,,
גברעם,Gevar'am,,,,,,
גבת,Gevat,Gvat,,,,,
גיבתון,Gibbton,Gibton,,,גבתון,,
גדות,Gadot,,,,,,
גדיש,Gadish,,,,,,
גדעונה,Gid'ona,,,,,,
גדרה,Gedera,,,,,,
גונן,Gonen,,,,,,
גזית,Gazit,,,,,,
גזר,Gezer,,,,,,
גיאה,Ge'a,,,,,,
גיזו,Gizo,,,,,,
גילון ,Gilon,,,,,,
גילת ,Gilat,,,,,,
גלאון,Gal'on,,,,,,
גלגל,Gilgal,,,,,,
גליל ים,Gelil Yam,Glil Yam,,,,,
גלעד (אבן יצחק),Gal'ed (Even Yits'hak),,,,,,
גמזו,Gimzo,,,,,,
גן הדרום,Gan Hadarom,,,,,,
גן השומרון,Gan Hashomron,,,,,,
גן חיים,Gan Hayyim,Gan Haim,,,,,
גן יאשיה,Gan Yoshiyyahu,Gan Yoshiya,,,,,
גן יבנה,Gan Yavne,,,,,,
גן-נר,Gan-Ner,,,,,,
גן שורק,Gan Sorek,,,,,,
גן שלמה,Gan Shelomo,Gan Shlomo,,,,,
גן שמואל,Gan Shemu'el,,,,,,
גינוסר,Ginnosar,Ginosar,,,,,
גנות,Gannot,Ganot,,,,,
גנות הדר,Gannot Hadar,Ganot Hadar,,,,,
גני הדר,Ganne Hadar,Ganei Hadar,,,,,
גני יהודה,Ganne Yehuda,Ganei Yehuda,,,,,
גני יוחנן,Ganne Yohanan,Ganei Yohanan,Ganei Yochanan,,,,
גני תקווה,Ganne Tikva,Ganei Tikva,,,גני תקוה,,
גיניגר,Ginnegar,Ganigar,,,גניגר,,
גניעם,Ganne'am,Ganei'am,,,,,
גינתון,Ginnaton,Ginaton,,,גנתון,,
געש,Ga'ash,,,,,,
געתון,Ga'ton,,,,,,
גפן,Gefen,,,,,,
גרופית,Gerofit,Grofit,,,,,
גורן,Goren,,,,גרן,,
גורנות הגליל,Gornot Hagalil,,,,גרנות הגליל,,
גשור,Geshur,,,,,,
גשר,Gesher,,,,,,
גשר הזיו,Gesher Haziv,,,,,,
גת (קיבוץ),Gat,,,,,,
גת רימון,Gat Rimmon,,,,,,
גיתה,Gitta,Gita,,,,,
גיתית,Gittit,Gatit,,,גתית,,
דבורה,Devora,Dvora,,,,,
דבירה,Devira,Dvira,,,,,
דוברת,Dovrat,,,,דברת,,
דגניה א',Deganya (Alef),Dganya Alef,,,,,
דגניה ב',Deganya (Bet),Dganya Bet,,,,,
"דוב""ב",Dovev .,,,,,,
דור,Dor,,,,,,
דורות,Dorot,,,,,,
דימונה,Dimona,,,,,,
דישון,Dishon,,,,,,
דולב,Dolev,,,,,,
דליה,Daliyya,Dalia,,,דלייה,,
דלתון,Dalton,,,,,,
דמידה,Dhamaida,Damida,,,,,
דן,Dan,,,,,,
דפנה,Dafna,,,,,,
דקל,Dekel,,,,,,
האון,Ha'on,,,,,,
הבונים,Habonim,,,,,,
הגושרים,Hagoshrim,,,,,,
הדר עם,Hadar Am,,,,,,
הוד השרון,Hod Hasharon,,,,,,
הודיה,Hodiyya,Hodia,Hodaya,,,,
הודיות,Hodayot,,,,,,
הושעיה,Hosha'ya,,,,,,
הזורע,Hazore’a,,,,,,
הזורעים,Hazor’im,,,,,,
החותרים,Hahotrim,Hachotrim,,,,,
היוגב,Hayogev,,,,,,
הילה,Hilla,Hila,,,,,
המעפיל,Hama'pil,,,,,,
הסוללים,Hasolelim,,,,,,
העוגן,Ha'ogen,,,,,,
הר-אדר,Har Adar,,,,,,
הר גילה,Har Gillo,Har Gilo,,,,,
הר-עמשא,Har Amasa,,,,,,
הראל,Har'el,,,,,,
הרדוף,Harduf,,,,,,
הרצליה,Herzeliyya ,Hertsetiyya,Herzelia,,,,
הררית,Hararit,,,,,,
השביל לגבעה,Hashvil Lagiv'a,,,,,,
ורד יריחו,Vered Yeriho,Vered Yericho,,,,,
ורדון,Vardon,,,,,,
זבדיאל,Zavdi'el,,,,,,
זוהר,Zohar,,,,,,
זיקים,Zikim,,,,,,
זיתן,Zetan,Zaitan,,,,,
זיכרון יעקוב,Zikhron Ya'akov,,,,,,
זכריה,Zekharya,,,,,,
זמרת,Zimrat,,,,,,
זנוח,Zano'ah,,,,,,
זרועה,Zeru'a,,,,,,
 זרזיר,Zarzir,,,,,,
זרחיה,Zerahya,Zerachya,Zerachia,,,,
חבצלת השרון,Havatselet Hasharon,Havazelet Hasharon,,,,,
חבר,Hever,,,,,,
חיבת ציון,HibbatTsiyyon,,,,חבת ציון,,
חגור,Hagor,,,,,,
חגי,Haggai,,,,,,
חוגלה,Hogla,,,,חגלה,,
חד-נס,Had-Nes,,,,,,
חדיד,Hadid,,,,,,
חדרה,Hedera,,,,,,
ח'ואלד,Khawalid,,,,,,
חולון,Holon,,,,,,
חולית,Holit,,,,,,
חולתה,Hulata,,,,,,
חופית,Hofit,,,,,,
חוקוק,Hukok,,,,,,
חורה,Hura ,,,,,,
חורשים,Horashim,,,,,,
חזון,Hazon,,,,,,
חיפה,Haifa,Hefa,,,,,
חולדה,Hulda,,,,,,
חלוץ,Haluts,Halutz,Chaluz,,,,
חלמיש,Hallamish,Halamish,,,,,
חלץ,Helets,Helez,,,,,
חמד,Hemed,,,,,,
חמדיה,Hamadya,,,,,,
חמדת,Hemdat,,,,,,
חמדת ימים,Hemdat Yamim,,,,,,
חמרה,Hamra,,,,,,
חניאל,Hanni'el,,,,,,
חניתה,Hanita,,,,,,
חיננית,Hinnanit,Chinanit,,,,,
חנתון,Hannaton,Hanaton,,,,,
חוסן,Hosen,Chosen,,,,,
חספין,Hapin,Chaspin,,,,,
חפץ חיים,Hafets Hayyim,Hafez Haim,,,,,
חפצי-בה,Heftsi-Va,Hefziva,Hefziba,,,,
חצב,Hatsav,Hazav,Chatav,,,,
 חצבה,Hatseva,Hazeva,Chazeva,,,,
חצור-אשדוד,Hatsor-Ashdod,Hazor-Ashdod,,,,,
חצור הגלילית,Hatsor Hagelilit,Hazor Haglilit,,,,,
חצרות יסף,Hatserot Yassaf,,,,,,
חצרים,Hatserim,Hazerim,Chazerim,,,,
חרב לאת,Herev Le'et,,,,,,
חרוצים,Hrutsim,,,,,,
חירות,Herut,,,,,,
חרמש,Hermesh,,,,,,
חרשים,Harashim,,,,,,
חשמונאים,Hashmona'im,,,,,,
טבריה,Tiberias,Teverya,Tabariyya,,,,
טירת יהודה,Tirat Yehuda,,,,,,
טירת כרמל,Tirat Karmel,Tirat HaKarmel,,,טירת הכרמל,,
טירת צבי,Tirat Tsvi,Tirat Zvi,,,,,
טל-אל,Tal-El,,,,,,
טל שחר,Tal Shahar,Tal Sachar,,,,,
טללים,Telalim,,,,,,
טלמון,Talmon,,,,,,
טנא,Tene,,,,,,
טפחות,Tefahot,,,,,,
יבול,Yevul,,,,,,
יבנאל,Yavne'el,,,,,,
יבנה,Yavne ,,,,,,
יגור,Yagur,,,,,,
יגל,Yagel,,,,,,
יד בנימין,Yad Binyamin,,,,,,
יד השמונה,Yad Hashemona,,,,,,
יד חנה,Yad Hanna,,,,,,
יד לשריון,Yad Lashiryon,,,,,,
יד מרדכי,Yad Mordekhai,,,,,,
יד נתן,Yad Natan,,,,,,
"יד רמב""ם",Yad Rambam,,,,,,
ידידה,Yedida,Yedidya,,,,,
יהוד,Yehud,Yahud,,,,,
יהל,Yahel,,,,,,
יובל,Yuval,,,,,,
יובלים,Yuvallim,Yuvalim,,,,,
יודפת,Yodfat,,,,,,
יונתן,Yonatan,,,,,,
יושיביה,Yoshivya,,,,,,
יזרעאל,Yizre'el,,,,,,
יחיעם,Yehi'am,,,,,,
יוטבתה,Yotvata,,,,,,
"ייט""ב",Yitav,,,,,,
יכיני,Yakhini,,,,,,
ינוב,Yanuv,,,,,,
יינון,Yinnon,,,,,,
יסוד המעלה,Yesud Hama'ala,,,,,,
יסודות ,Yesodot,,,,,,
יסעור,Yas'ur,,,,,,
יעד ,Ya'ad,,,,,,
יעל,Ya'el,,,,,,
יעלון,Ya’alon,,,,,,
יעף,Ye'af,,,,,,
יערה ,Ya'ara,,,,,,
יפית ,Yafit,,,,,,
יפעת,Yifat,,,,,,
יפתח,Yiftah,,,,,,
יצהר,Yits'har,Yizhar,,,,,
יציץ,Yatsits,Yaziz,,,,,
יקום,Yakum,,,,,,
יקיר,Yakkir,Yakir,,,,,
יקנעם (מושבה),Yokne'am,,,,,,
יקנעם עילית,Yokne'am Illit,Yokne'am Ilit,,,,,
יראון,Ir'on,Yaron,,,,,
ירדנה,Yardena,,,,,,
ירוחם,Iroham,Yerucham,Yeruham,,,,
ירושלים,Jerusalem,Yerushalayim,,,,,
ירחיב,Yarhiv,Yarchiv,,,,,
ירקונה,Yarkona,,,,,,
ישע,Yesha,,,,,,
ישעי,Yish'i,,,,,,
ישרש,Yashresh,,,,,,
יתד,Yated,,,,,,
יתיר,Yattir,Yatir,,,,,
כברי,Kabri,,,,,,
כדורי,Kadduri,Kaduri,,,,,
כוכב השחר,Kokhav Hashahar,Kochav HaShachar,,,,,
כוכב יאיר,Kokhav Ya'ir,Kochav Yair,,,,,
כוכב יעקב,Kokhav Ya'akov,Kochav Ya'akov,,,,,
כוכב מיכאל,Kokhav Mikha'el,Kochav Michael,,,,,
כורזים,Korazim,,,,,,
כחל,Kahal,,,,,,
כישור,Kishor,,,,,,
כליל,Kelil,Klil,,,,,
כלנית,Kallanit,Kalanit,,,,,
כמאנה,Kamana,,,,,,
כמהין,Kemehin,Kmehin,,,,,
כמון,Kammon,Kamun,Kamon,,,,
כנות,Kannot,Kanot,,,,,
כנף,Kanaf,,,,,,
כינרת (מושבה),Kinneret,Kineret,,,,,
כינרת (קבוצה),Kinneret (Kevutsa),Kineret (Kvuza),,,,,
כיסופים,Kissufim,Kisufim,,,כספים,,
כסלון,Kesalon,Ksalon,,,,,
כפר אביב,Kefar Aviv,Kfar Aviv,,,,,
כפר אדומים,Kefar Adummim,Kfar Adumim,,,כפר אדמים,,
כפר אוריה,Kefar Uriyya,Kfar Uriya,,,,,
"כפר אז""ר",Kefar Azar,Kfar Azar,,,,,
כפר אחים,Kefar Ahim,Kfar Achim,,,,,
כפר ביאליק,Kefer Bialik,Kfar Bialik,,,,,
"כפר ביל""ו",Kefar Bilu,Kfar Bilu,,,,,
כפר בלום,Kefar Blum,Kfar Blum,,,,,
כפר בן-נון,Kefer Bin Nun,Kfar Bin-Nun,,,,,
כפר ברוך,Kefar Barukh,Kfar Barukh,Kfar Baruch,,,,
כפר גדעון,Kefar Gide'on,,,,,,
כפר גלים,Kefar Gallim,Kfar Galim,,,,,
כפר גליקסון,Kefar Glikson,,,,,,
כפר גלעדי,Kefar Gil'adi,Kfar Giladi,,,,,
כפר דניאל .,Kefar Daniyyel,Kfar Daniel,,,,,
כפר האורנים,Kefar Ha'oranim,Kfar HaOranim,,,כפר ארנים,,
כפר החורש,Kefar Hahoresh,Kfar HaHoresh,Kfar HaChoresh,,כפר החרש,,
כפר המכבי,Kefar Hamakkabi,Kfar HaMakabi,Kfar HaMaccabi,Kfar HaMacabi,,,
כפר הנגיד,Kefar Hangid,Kfar HaNagid,,,,,
כפר הנוער הדתי,Kefar Hano'ar Hadati,Kfar Hanoar Hadati,,,כפר הנער הדתי,,
כפר הנשיא,Kefar Hanasi,Kfar Hanasi,,,,,
כפר הס,Kefar Hess,Kfar Hess,,,,,
"כפר הרא""ה",Kefar Haro'e,Kfar Haro'e,,,,,
"כפר הרי""ף",Kefar Harif,Kfar Harif,Kfar Charif,,,,
כפר ויתקין,Kefar Vitkin,Kfar Vitkin,,,,,
כפר ורבורג,Kefar Warburg,Kfar Warburg,Kfar Varburg,Kefar Warburg,,,
כפר ורדים,Kefar Veradim,Kfar Veradim,Kfar Vradim,Kefar Vradim,,,
כפר זוהרים,Kefar Zoharim,Kfar Zoharim,,,כפר זהרים,,
כפר זיתים,Kefar Zetim,Kfar Zetim,,,,,
"כפר חב""ד",Kefar Habad,Kfar Habad,Kfar Chabad,Kefar Chabad,,,
כפר חיטים,Kefr Hittim,Kefr Hittim,Kfar Hitim,,כפר חטים,,
כפר חיים,Kefar Hayyim,Kfar Hayyim,Kfar Haim,Kefar Haim,,,
כפר חנניה,Kefar Hananya,Kfar Hananya,,,,,
כפר חסידים א',Kefar Hasidim Alef,Kfar Hasidim Alef,,,,,
כפר חסידים ב',Kefar Hasidim Bet,Kfar Hasidim Bet,,,,,
כפר חרוב,Kefar Haruv,Kfar Haruv,Kfar Charuv,Kefar Charuv,,,
כפר חושן,Kefar Hoshen,Kfar Hoshen,Kfar Choshen,Kefar Choshen,כפר חשן,,
כפר טרומן,Kefar Truman,Kfar Truman,,,,,
כפר ידידיה,Kefar Yedidya,Kfar Yedidya,,,,,
כפר יהושוע,Kefar Yehoshu'a,Kfar Yehoshu'a,,,כפר יהושע,,
כפר יונה,Kefar Yona,Kfar Yona,,,,,
כפר יחזקאל,Kefar Yehezkel,Kfar Yehezkel,,,,,
כפר יעבץ,Kefar Ya'bez,Kfar Ya'bez,Kfar Kavez,Kefar Kavez,,,
כפר מונש,Kefar Monash,Kfar Monash,,,,,
כפר מימון,Kefar Maimon,Kfar Maimon,Kefar Maymon,Kfar Maymon,,,
"כפר מל""ל",Kefar Mallal,Kfar Mallal,Kfar Malal,Kefar Malal,,,
כפר מנחם,Kefar Menahem,Kfar Menahem,Kfar Menachem,Kefar Menachem,,,
כפר מסריק,Kefar Masaryk,Kfar Masaryk,,,,,
כפר מרדכי,Kefar Mordekhai,Kfar Mordekhai,,,כפר מורדכי,,
כפר נטר,Kefar Netter,Kfar Netter,Kfar Neter,Kefar Neter,,,
כפר סולד,Kefar Sold,Kfar Sold,,,,,
כפר סבא,Kefar Sava,Kfar Sava,Kfar Saba,Kefar Saba,,,
כפר סילבר,Kefar Silver,Kfar Silver,,,,,
כפר סירקין,Kefar Sirkin,Kfar Sirkin,,,,,
כפר עזה,Kefar Azza,Kfar Azza,Kfar Aza,Kefar Aza,,,
כפר עציון,Kefar Etsyon,Kfar Etsyon,Kfar Ezion,Kefar Ezion,,,
כפר פינס,Kefar Pines,Kfar Pines,,,,,
כפר קיש,Kefar Kisch,Kfar Kisch,Kfar Kish,Kefar Kish,,,
כפר ראש הנקרה,Kefar Rosh Hanikra,Kfar Rosh Hanikra,,,,,
זרעית,Kefar Rozenwald (Zar’it),Kfar Rozenwald,Zar'it,Kfar Rozenvald,כפר רוזנואלד,,
כפר רופין,Kefar Rupin,Kfar Rupin,,,,,
כפר רות,Kefar Rut,Kfar Rut,,,,,
כפר שמאי,Kefar Shama'i,Kfar Shama'i,,,,,
כפר שמואל,Kefar Shemuel,Kfar Shemuel,Kfar Shmuel,Kefar Shmuel,,,
כפר שמריהו,Kefar Shemaryahu,Kfar Shemaryahu,Kefar Shmaryahu,Kfar Shmaryahu,,,
כפר תבור,Kefar Tavor,Kfar Tavor,,,,,
כפר תפוח,Kefar Tappu’ah,Kfar Tappu’ah,Kfar Tapuach,Kefar Tapuach,,,
כרי דשא,Kare Deshe,Karei Deshe,,,,,
כרכום,Karkom,,,,כרכם,,
כרם בן זמרה,Kerem Ben Zimra,,,,כרם בן זימרה,,
כרם בן שמן,Kerem Ben Shemen,,,,,,
כרם יבנה (ישיבה),Kerem Yavne,,,,,,
"כרם מהר""ל",Kerem Maharal,,,,,,
כרם שלום,Kerem Shalom,,,,,,
כרמי יוסף,Karme Yosef,Karmei Yosef,,,,,
כרמי צור,Karme Tsur,Karmei Tsur,Karme Zur,Karmei Zur,,,
כרמיאל,Karmi'el,Carmiel,,,,,
כרמיה ,Karmiyya,Karmia,,,כרמייה,,
כרמים,Keramim,Kramim,,,,,
כרמל,Karmel,Carmel,,,,,
לבון,Lavon,,,,,,
לביא,Lavi,,,,,,
לבנים,Livnim,,,,,,
לוד,Lod,Lud,Lydda,,,,
להב,Lahav,,,,,,
להבות הבשן,Lahavot Habashan,,,,,,
להבות חביבה,Lahavot Haviva,,,,,,
להבים,Lehavim,,,,,,
לוזית,Luzit,,,,,,
